@id,@lat,@lon,name,leisure,sport
25914699,51.5846339,0.0376903,,pitch,tennis
25929432,51.5015702,0.0248401,Lyle Park Tennis Courts,,tennis
26118416,56.4796118,-2.8167271,,pitch,tennis
26238409,56.4984002,-2.7120225,,pitch,tennis
26260338,53.9477514,-1.0814894,,pitch,tennis
26319153,51.7453100,-0.4380147,Leverstock Green Tennis Club,,tennis
26401859,55.0749711,-1.5841201,Cramlington Tennis,pitch,tennis
26404160,51.5016424,-3.2288790,,pitch,tennis
26537027,51.4424599,-0.0693958,Camber Lawn Tennis Club,sports_centre,tennis
26547055,51.4203298,-0.1175578,,pitch,tennis
26552336,51.8368901,1.1380294,Parish Fields,sports_centre,tennis
26565777,51.6149538,-0.7826289,Bucks Indoor Tennis Centre,sports_centre,tennis
26605382,55.8674616,-4.2876316,Kelvingrove Park Tennis Courts,pitch,tennis
26710706,51.4364464,-0.1394492,,pitch,tennis
26740391,51.4764742,-3.1583243,Welsh National Tennis Centre,sports_centre,tennis
26772222,51.5935238,-0.1463803,,pitch,tennis
26780917,50.8542623,0.5686061,,pitch,tennis
26785084,51.5534822,-0.4692564,Uxbridge Sports Club,,tennis
26797329,51.3931087,-0.2892862,Surbiton Racket and Fitness Club,sports_centre,tennis
26956243,51.2364434,-0.3241889,,pitch,tennis
26980315,51.5280884,-0.0840231,,pitch,tennis
26983732,56.3402215,-2.8040261,,pitch,tennis
26995238,51.6374763,-0.7751721,,pitch,tennis
27100210,51.0685333,0.6917003,,pitch,tennis
27109129,50.9757315,-3.2273285,,pitch,tennis
27136278,52.6243225,-1.1201687,,pitch,tennis
27141267,51.4283106,-0.3725426,,,tennis
27141276,51.4278084,-0.3714575,,pitch,tennis
27160497,51.4253001,-0.3776496,,,tennis
27178900,51.2525289,-1.1303067,,sports_centre,tennis
27203831,53.1970503,-2.3569715,,pitch,tennis
27204149,51.1014985,0.5311756,,pitch,tennis
27230481,51.4701043,-0.2223376,,pitch,tennis
